RGAP,Objective Function,Time
1.548679346e-06,4231335.301,0.309
1.581617655e-06,4231335.301,0.309
1.173807108e-06,4231335.301,0.31
2.908309084e-06,4231335.3,0.311
2.759877677e-06,4231335.3,0.311
2.869502672e-06,4231335.3,0.312
2.838483801e-06,4231335.3,0.312
2.879250787e-06,4231335.3,0.313
2.862511433e-06,4231335.3,0.313
2.847562674e-06,4231335.3,0.314
2.701861361e-06,4231335.3,0.315
2.729246857e-06,4231335.3,0.315
2.459005167e-06,4231335.3,0.315
2.484509454e-06,4231335.3,0.316
7.075030609e-07,4231335.289,0.345
7.075030609e-07,4231335.289,0.346
7.115248482e-07,4231335.289,0.346
7.035054078e-07,4231335.289,0.347
7.228662658e-07,4231335.289,0.347
7.042300781e-07,4231335.289,0.348
7.361318705e-07,4231335.289,0.348
7.736221631e-07,4231335.289,0.348
7.736184059e-07,4231335.289,0.349
6.050598323e-07,4231335.289,0.349
6.232602472e-07,4231335.289,0.35
6.365453529e-07,4231335.289,0.35
4.722023144e-07,4231335.289,0.351
1.171245976e-06,4231335.289,0.352
1.111430658e-06,4231335.289,0.352
1.155601148e-06,4231335.289,0.353
1.143154601e-06,4231335.289,0.353
1.159596511e-06,4231335.289,0.354
1.152853593e-06,4231335.289,0.354
1.146826914e-06,4231335.289,0.355
1.088045551e-06,4231335.289,0.355
1.099091861e-06,4231335.289,0.356
9.901761435e-07,4231335.289,0.356
1.000448155e-06,4231335.289,0.356
2.849875708e-07,4231335.287,0.386
2.849875708e-07,4231335.287,0.387
2.86608403e-07,4231335.287,0.387
2.833763464e-07,4231335.287,0.388
2.911793374e-07,4231335.287,0.388
2.836686971e-07,4231335.287,0.389
2.965260782e-07,4231335.287,0.389
3.116357885e-07,4231335.287,0.39
3.116342745e-07,4231335.287,0.39
2.437024932e-07,4231335.287,0.391
2.510371245e-07,4231335.287,0.391
2.563924423e-07,4231335.287,0.392
1.901601353e-07,4231335.287,0.392
4.71892997e-07,4231335.287,0.393
4.477867731e-07,4231335.287,0.393
4.65591212e-07,4231335.287,0.393
4.605755334e-07,4231335.287,0.394
4.67203047e-07,4231335.287,0.395
4.644855384e-07,4231335.287,0.395
4.62056034e-07,4231335.287,0.395
4.383657072e-07,4231335.287,0.396
4.428180197e-07,4231335.287,0.396
3.989241705e-07,4231335.287,0.397
4.030636299e-07,4231335.287,0.397
