RGAP,Objective Function,Time
0.08161362933,4572191.014,0.1
0.08161378019,4572191.014,0.1
0.08161385562,4572191.014,0.101
0.08161386505,4572191.014,0.101
0.08161386623,4572191.014,0.102
0.08161386623,4572191.014,0.102
0.07961791189,4570969.513,0.103
0.07893455769,4570689.036,0.103
0.07879758886,4570660.683,0.104
0.07873016174,4570652.796,0.104
0.07868018311,4570649.376,0.104
0.07865519712,4570648.753,0.105
0.07864488428,4570648.592,0.105
0.07864178793,4570648.579,0.106
0.07864023324,4570648.576,0.106
0.07863945954,4570648.576,0.107
0.07863945954,4570648.576,0.107
0.08349937095,4550066.712,0.107
0.07996529043,4548574.695,0.108
0.0800246067,4548573.386,0.108
0.08005342973,4548573.079,0.109
0.08006799639,4548573.008,0.109
0.08007520948,4548572.993,0.109
0.08007885294,4548572.991,0.11
0.08007931747,4548572.991,0.11
0.08007935444,4548572.991,0.111
0.08007937293,4548572.991,0.111
0.08007937293,4548572.991,0.112
0.07481235085,4539969.541,0.112
0.07486194135,4539965.256,0.113
0.07487442065,4539964.882,0.113
0.07488067253,4539964.8,0.113
0.07488380153,4539964.785,0.114
0.07488458409,4539964.783,0.114
0.07488477976,4539964.783,0.115
0.07488487759,4539964.783,0.115
0.07488492651,4539964.783,0.116
0.07488495097,4539964.783,0.116
0.07488495097,4539964.783,0.116
0.04056133873,4367549.222,0.122
0.03020913652,4343775.692,0.123
0.02575249299,4335367.784,0.123
0.02286869868,4332390.143,0.124
0.02292781144,4330859.223,0.124
0.02228546391,4329637.123,0.125
0.02206117916,4328946.157,0.125
0.02236611427,4328369.922,0.126
0.02191475084,4327950.538,0.126
0.02183655895,4327617.23,0.127
0.0216907568,4327366.101,0.128
0.02141898376,4327151.022,0.128
0.02142665873,4326983.462,0.129
0.02118492351,4326855.236,0.129
0.0212049546,4326734.362,0.13
0.02127523454,4326645.436,0.13
0.0211172066,4326524.081,0.132
0.021086774,4326451.01,0.133
0.02092753702,4326391.103,0.133
0.02093574245,4326338.279,0.134
0.02093574245,4326338.279,0.134
0.02098515232,4322407.458,0.135
0.02097733831,4322406.474,0.135
0.02097357983,4322406.339,0.136
0.02097345833,4322406.339,0.136
0.02097339759,4322406.339,0.137
0.02097336723,4322406.339,0.137
0.02097335205,4322406.339,0.137
0.02097334475,4322406.339,0.138
0.02097334382,4322406.339,0.138
0.02097334369,4322406.339,0.139
0.02097334369,4322406.339,0.139
0.02014489053,4318581.914,0.14
0.02012699862,4318578.818,0.14
0.02012264878,4318578.642,0.141
0.02012210652,4318578.636,0.141
0.02012183569,4318578.635,0.142
0.02012170035,4318578.635,0.142
0.02012163307,4318578.635,0.143
0.02012162881,4318578.635,0.143
0.02012162671,4318578.635,0.144
0.02012162644,4318578.635,0.144
0.02012162644,4318578.635,0.144
0.01992661411,4318265.995,0.145
0.01987575401,4318253.432,0.145
0.01986376793,4318252.844,0.146
0.01986302676,4318252.841,0.146
0.01986284161,4318252.841,0.147
0.01986283004,4318252.841,0.147
0.01986282714,4318252.841,0.148
0.0198628257,4318252.841,0.148
0.01986282497,4318252.841,0.149
0.01986282479,4318252.841,0.149
0.01986282479,4318252.841,0.15
0.02122386021,4316542.428,0.15
0.02122386021,4316542.428,0.151
0.02122386021,4316542.428,0.151
0.02122386021,4316542.428,0.152
0.02122386021,4316542.428,0.152
0.02122386021,4316542.428,0.153
0.02122386021,4316542.428,0.153
0.02122386021,4316542.428,0.154
0.02122386021,4316542.428,0.154
0.02122386021,4316542.428,0.155
