RGAP,Objective Function,Time
0.0501114,1.21256e+06,0.007
0.04901621403,1212433.531,0.007
0.04901621403,1212433.531,0.008
0.04901621403,1212433.531,0.009
0.04901621403,1212433.531,0.01
0.04901621403,1212433.531,0.011
0.04901621403,1212433.531,0.012
0.04901621403,1212433.531,0.012
0.04901621403,1212433.531,0.013
0.04901621403,1212433.531,0.014
0.04901621403,1212433.531,0.015
0.04901621403,1212433.531,0.016
0.008258370192,1202698.769,0.017
0.007769609333,1201886.611,0.018
0.007769609333,1201886.611,0.019
0.007769609333,1201886.611,0.02
0.007769609333,1201886.611,0.021
0.007769609333,1201886.611,0.022
0.007769609333,1201886.611,0.022
0.007769609333,1201886.611,0.023
0.007769609333,1201886.611,0.024
0.007769609333,1201886.611,0.025
0.007769609333,1201886.611,0.026
0.005551219332,1201414.158,0.027
0.005551219332,1201414.158,0.028
0.005551219332,1201414.158,0.029
0.005551219332,1201414.158,0.03
0.005551219332,1201414.158,0.03
0.005551219332,1201414.158,0.031
0.005551219332,1201414.158,0.032
0.005551219332,1201414.158,0.033
0.005551219332,1201414.158,0.033
0.005551219332,1201414.158,0.034
0.005551219332,1201414.158,0.035
0.005543452861,1201409.798,0.036
0.005543452861,1201409.798,0.036
0.005543452861,1201409.798,0.037
0.005543452861,1201409.798,0.038
0.005543452861,1201409.798,0.039
0.005543452861,1201409.798,0.04
0.005543452861,1201409.798,0.04
0.005543452861,1201409.798,0.041
0.005543452861,1201409.798,0.042
0.005543452861,1201409.798,0.043
0.005543452861,1201409.798,0.043
0.005161110926,1201319.714,0.044
0.005161110926,1201319.714,0.045
0.005161110926,1201319.714,0.046
0.005161110926,1201319.714,0.047
0.005161110926,1201319.714,0.048
0.005161110926,1201319.714,0.049
0.005161110926,1201319.714,0.05
0.005161110926,1201319.714,0.051
0.005161110926,1201319.714,0.052
0.005161110926,1201319.714,0.053
0.005161110926,1201319.714,0.054
0.00472304729,1201161.51,0.055
0.003690479581,1200862.954,0.056
0.003690472504,1200862.954,0.056
0.003690469952,1200862.954,0.056
0.003690468853,1200862.954,0.057
0.003690468341,1200862.954,0.058
0.003690468218,1200862.954,0.059
0.003690468156,1200862.954,0.06
0.003690468152,1200862.954,0.061
0.003690468152,1200862.954,0.061
0.003690468152,1200862.954,0.061
0.003684384269,1200836.718,0.062
0.003684384269,1200836.718,0.062
0.003684384269,1200836.718,0.063
0.003684384269,1200836.718,0.063
0.003684384269,1200836.718,0.063
0.003684384269,1200836.718,0.064
